"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","262","3.217","16.0","34.0","34.7","7.6","3.8","0.4","1.1","2.3",".",".",".",".",".",".",".","."
"Intro to Comparative Politics","120","001","124","3.645","69.4","13.7","5.6","4.0","0.8","1.6","2.4","2.4",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","140","001","329","3.550","45.9","31.9","8.5","7.9","4.0",".",".","1.5",".",".",".",".",".",".",".","0.3"
"","160","001","177","3.483","41.8","31.6","14.7","9.6","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"","160","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Political Theory","","Course Total","182","3.494","43.4","30.8","14.3","9.3","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","170","001","116","3.174","24.1","34.5","19.0","10.3","5.2","4.3","1.7",".",".",".",".",".","0.9",".",".","."
"Intro to Compar Politics-Hon","182","001","22","3.432","50.0","18.2","18.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Intro to State Government","205","001","29","3.333","41.4","27.6","3.4",".","17.2","3.4",".","3.4",".",".",".",".","3.4",".",".","."
"Intro to Political Psych","206","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","41","3.159","34.1","19.5","17.1","17.1","7.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","18","3.306","55.6","22.2","5.6","5.6",".",".","11.1",".",".",".",".",".",".",".",".","."
"Wisconsin Idea, Past & Present","259","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","23","3.674","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","272","001","38","3.743","52.6","39.5","5.3",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","272","002","28","3.679","46.4","42.9","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","","Course Total","66","3.715","50.0","40.9","7.6",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Political Choice and Strategy","274","001","67","3.286","23.9","32.8","22.4","6.0","7.5","1.5",".",".",".",".",".",".",".","1.5","4.5","."
"Africa: Introductory Survey","277","001","32","3.328","34.4","43.8","9.4","3.1","3.1",".","6.3",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","302","001","15","3.567","60.0","6.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"American Political Parties","306","001","51","3.447","37.3","33.3","13.7","2.0","2.0","2.0","2.0","7.8",".",".",".",".",".",".",".","."
"United States Congress","311","001","52","3.396","28.8","42.3","11.5","3.8","1.9","1.9","1.9","1.9",".",".",".",".",".",".","5.8","."
"Criminal Law and Justice","314","001","52","3.885","84.6","11.5","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in Political Science","316","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Politics","324","001","46","3.045","32.6","21.7","8.7","13.0","8.7","8.7","2.2",".",".",".",".",".",".",".","4.3","."
"African Politics","329","001","38","3.806","63.2","26.3","5.3",".",".",".",".","2.6",".",".",".",".","2.6",".",".","."
"Civil Military Paradox in US","338","001","52","3.846","78.8","13.5","5.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Israeli Politics and Society","341","001","42","3.115","19.0","21.4","28.6","19.0","2.4",".","2.4","2.4",".",".",".",".",".",".","4.8","."
"Internat'l Political Economy","350","001","61","3.339","16.4","45.9","24.6","6.6","3.3",".",".","1.6",".",".",".",".","1.6",".",".","."
"Machiavelli and His World","365","002","88","3.386","48.9","19.3","17.0","8.0",".","4.5","2.3",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","47","3.415","38.3","29.8","21.3","6.4","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"","400","001","132","3.690","62.9","22.0","3.8","3.8","1.5",".","1.5","3.8",".",".",".",".","0.8",".",".","."
"","400","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","149","3.712","67.1","19.5","3.4","3.4","1.3",".","1.3","3.4",".",".",".",".","0.7",".",".","."
"Selected Topics-Poli Sci","401","001","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supreme Ct as Pol Instit","414","001","47","3.777","76.6","14.9","4.3",".","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 320 of 469",""
