"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"355","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Asian Language","Course Total","","13","3.769","84.6",".",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"357","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"357","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Asian Language","Course Total","","16","3.781","81.3",".","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Conversation
376","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"378","001","","23","3.804","73.9","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"378","002","","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Conversation","Course Total","","44","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean
405","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"421","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Readings Japanese
451","001","","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ad Chin: Rd & Writ
457","001","","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics: Asian Translation
475","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"5th Semester SE Asian Language
507","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
