"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","8","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","22","3.886","81.8","13.6","4.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","20","3.925","85.0","15.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","44","3.894","81.8","15.9","2.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
