"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate
100","001","","202","3.112","26.7","21.3","20.8","14.9","6.4","2.0","3.0","5.0",".",".",".",".",".",".",".","."
"Weather and Climate
101","001","","57","3.404","49.1","22.8","17.5","1.8","3.5",".","5.3",".",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters
140","001","","125","3.584","57.6","22.4","12.0","1.6","4.0","1.6","0.8",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss
171","001","","39","3.763","74.4","7.7","10.3","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I
310","001","","23","3.750","65.2","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","4.3",".","."
"Physics-Atmosphere&Ocean I
330","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climatic Environments
335","001","","8","3.188","25.0","37.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Air Quality
355","001","","17","3.471","29.4","47.1","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology
441","001","","21","3.900","81.0","9.5","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Syn Lab I:Frontal Cyclone
452","001","","14","2.679",".","21.4","21.4","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"Tropical Meteorology
522","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Methods in AOS
573","001","","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I
610","001","","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics
630","001","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cloud Physics
637","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Physical Oceanography
660","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis
691","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.923","77.8",".","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"The Frontal Cyclone
751","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Meteor
801","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Meteorology
900","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","11","",".",".",".",".",".",".",".","18.2",".",".",".","81.8",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 297 of 469",""
