"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","250","3.196","26.8","28.8","23.6","10.4","6.4","2.0","2.0",".",".",".",".",".",".",".",".","."
"","300
002","257","3.206","23.3","34.6","22.2","9.7","5.8","3.5","0.8",".",".",".",".",".",".",".",".","."
"","300
003","229","3.131","26.6","27.5","22.7","9.2","7.4","4.4","2.2",".",".",".",".",".",".",".",".","."
"","300
100","18","3.222","11.1","44.4","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","754","3.180","25.2","30.8","22.9","9.8","6.5","3.2","1.6",".",".",".",".",".",".",".",".","."
"","305
001","49","3.459","32.7","36.7","22.4","6.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","305
002","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","53","3.519","43.4","30.2","15.1","9.4","1.9",".",".",".",".",".",".",".",".",".",".","."
"","305
100","30","3.283","33.3","23.3","26.7","6.7","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","159","3.528","45.9","27.7","17.0","6.3","2.5","0.6",".",".",".",".",".",".",".",".",".","."
"","310
001","38","3.355","15.8","42.1","39.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","50","3.420","22.0","40.0","38.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","50","3.440","22.0","48.0","26.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
004","27","3.500","29.6","44.4","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","165","3.424","21.8","43.6","32.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","37","3.878","89.2","5.4",".","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"","335
002","34","3.882","88.2","2.9","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","15","3.733","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","86","3.855","86.0","5.8","3.5","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","355
001","50","3.900","86.0","10.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","49","3.622","30.6","63.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","50","3.720","54.0","36.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
004","47","3.609","36.2","48.9","10.6","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"","355
100","33","3.909","84.8","12.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","229","3.743","56.8","35.4","6.6","0.9",".",".",".","0.4",".",".",".",".",".",".",".","."
"","365
001","29","3.759","51.7","37.9","3.4",".",".",".",".",".",".",".",".",".",".",".","6.9","."
"","365
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","48","3.836","70.8","22.9","2.1",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Reading & Rsch-Marketing","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sports Marketing","410
001","43","3.314","30.2","27.9","23.3","11.6","7.0",".",".",".",".",".",".",".",".",".",".","."
"","415
001","33","3.500","42.4","42.4","3.0","3.0","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"","415
002","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Creative Marketing","Course Total","47","3.511","42.6","36.2","12.8","2.1","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"","420
001","16","3.469","37.5","43.8","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","420
002","27","3.648","29.6","70.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","43","3.581","32.6","60.5","4.7",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"","421
001","38","3.697","50.0","42.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","35","3.757","62.9","28.6","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","421
100","14","3.464","64.3","14.3","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","87","3.684","57.5","32.2","5.7","3.4",".",".","1.1",".",".",".",".",".",".",".",".","."
"","422
001","21","3.595","28.6","61.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","42","3.679","47.6","40.5","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 60 of 469"
