"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Ensemble-Woodwind","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
189","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
220","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","40","3.938","92.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
104","13","3.346","53.8","7.7","30.8",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","42","3.750","76.2","11.9","9.5",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"","297
011","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","297
036","10","3.650","70.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","25","3.792","84.0","8.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","16","3.933","87.5",".","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","331
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","331
066","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","Course Total","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","340
084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","346
062","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wind Ensemble","40
001","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Middle Ages","411
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","278","3.996","99.6",".","0.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","43
001","106","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
