"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"Earth's Soil
131","001","","49","3.063","20.4","30.6","20.4","18.4","2.0",".","6.1",".",".",".",".",".",".",".","2.0","."
"Intro to Environmental Science
250","001","","66","2.886","28.8","16.7","16.7","12.1","13.6","7.6","4.5",".",".",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"General Soil Science
301","001","","63","2.726","22.2","12.7","17.5","12.7","22.2","6.3","4.8",".",".",".",".",".","1.6",".",".","."
"302","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"302","003","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"302","005","","7","3.571","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"302","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soils laboratory","Course Total","","26","3.731","92.3",".",".",".",".","3.8","3.8",".",".",".",".",".",".",".",".","."
"Soils and Environmental Chem
321","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Biology
323","001","","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality
324","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Env. Monitor Earth's Crit Zone
327","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grassland Ecology
370","001","","23","3.848","87.0","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Soil Contamination
430","001","","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeochem
451","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Management
499","001","","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Chemistry
621","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Physics
622","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Graduate Seminar
728","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium: Envir Remed Mgmt
730","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching
799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","25","",".",".",".",".",".",".",".","68.0",".",".",".","32.0",".",".",".","."
