"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Advanced Organic Chemistry
547","001","","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry
561","001","","33","3.667","63.6","12.1","21.2",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry
562","001","","70","3.196","24.3","17.1","38.6","15.7","1.4",".","1.4",".",".",".",".",".","1.4",".",".","."
"563","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","003","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","004","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","006","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab I","Course Total","","51","3.745","56.9","35.3","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"564","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab II","Course Total","","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry
565","001","","96","3.167","39.6","13.5","19.8","7.3","14.6","4.2","1.0",".",".",".",".",".",".",".",".","."
"Symmtry/Bondng/Molec Shapes
608","001","","16","3.813","87.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Organic Analysis
622","001","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrochemistry
624","001","","16","3.430","31.3","18.8","43.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentatn: NMR
636","001","","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry
641","001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem of Inorganic Materials
652","001","","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Chem & Stat Thermodynamics
661","001","","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Phys Chem of Macromolecules
664","001","","15","3.535","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry
665","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biophysical Spectroscopy
668","001","","30","3.667","56.7","20.0","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quantum Chemistry
675","001","","17","3.781","64.7","17.6","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis
691","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
