"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"Introductory Geology","100","001","458","3.699","69.0","15.7","9.6","1.5","2.2","1.1","0.7","0.2",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","128","3.543","41.4","38.3","12.5","4.7","2.3","0.8",".",".",".",".",".",".",".",".",".","."
"Geology of the National Parks","109","001","121","3.337","24.0","27.3","7.4","10.7","2.5",".","1.7","26.4",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","229","3.086","28.4","21.0","20.1","12.7","12.2","3.9","1.3",".",".",".",".",".","0.4",".",".","."
"Life in Earth's Extreme Envir","117","001","37","3.743","73.0","10.8","10.8","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters","140","001","118","3.545","52.5","24.6","8.5","4.2","1.7","0.8","2.5",".",".",".",".",".",".",".","5.1","."
"","199","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Geologic Structures","202","001","30","3.017","23.3","16.7","36.7",".","16.7","6.7",".",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","9","3.500","44.4",".","44.4",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","280","3.524","44.3","25.0","8.9","4.6","1.8","1.8","1.1",".",".",".",".",".",".","12.5",".","."
"Past Climatic Environments","335","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","26","3.480","30.8","42.3","15.4","3.8","3.8",".",".",".",".",".",".",".",".","3.8",".","."
"Capstone Geological Sciences","402","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Quantitative Methods","537","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Paleoceanography","551","001","11","2.950","9.1","27.3","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".","9.1","."
"Structural Petrology","557","001","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Geochronology & Timescales","610","001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","19","3.079","36.8","15.8","10.5","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","691","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","875","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","004","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"","875","005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Glacial & Pleistocene Geol","920","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
