"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag
103","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","70","3.714","62.9","28.6","5.7",".","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"201","002","","83","3.813","78.3","13.3","4.8","2.4",".","1.2",".",".",".",".",".",".",".",".",".","."
"201","003","","81","3.827","72.8","23.5","1.2","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","Course Total","","234","3.788","71.8","21.4","3.8","1.3","0.9","0.4","0.4",".",".",".",".",".",".",".",".","."
"Introduction to Global Health
203","001","","100","3.755","67.0","21.0","10.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health
205","001","","325","3.869","84.0","5.5","5.2",".","1.2","0.3","0.3","3.4",".",".",".",".",".",".",".","."
"299","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology
302","001","","28","3.423","35.7","25.0","17.9","10.7","3.6",".",".","7.1",".",".",".",".",".",".",".","."
"Taxonomy of Mature Insects
331","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Econ Entomology
351","001","","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
375","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic & Applied Insect Ecology
450","001","","45","3.589","53.3","20.0","20.0","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Ecology
540","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium
801","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
875","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Organismal Entomol
901","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","21","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
