"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
045","15","3.500","53.3","20.0","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
047","13","3.269","30.8","38.5","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","100
048","11","3.318","27.3","45.5","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","100
049","15","3.700","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
050","15","3.533","20.0","66.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
051","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
052","15","3.067","33.3","20.0","20.0","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"","100
053","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
054","14","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","13","3.346","30.8","46.2",".","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","100
056","15","3.633","60.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
057","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
059","14","2.964","7.1","42.9","21.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","100
060","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
061","15","3.733","66.7","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
062","15","3.467","20.0","66.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
063","15","3.533","26.7","66.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
064","15","3.500","53.3","33.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
065","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
066","14","3.393","28.6","42.9","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","924","3.575","47.5","34.7","10.4","3.8","2.1","0.8","0.6",".",".",".",".",".","0.1",".",".","."
"Intro-Digital Media Production","155
001","115","3.835","75.7","18.3","4.3","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"","181
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","181
002","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","Course Total","28","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","118","3.902","89.8","6.8",".","0.8","0.8",".","0.8",".",".",".",".",".","0.8",".",".","."
"Survey of Contemporary Media","250
001","239","2.972","14.6","25.5","32.6","10.9","8.8","2.9","3.3","1.3",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","222","3.605","59.0","19.8","11.7","5.4","1.4","0.5","1.4","0.5",".",".",".",".","0.5",".",".","."
"Thry&Pract-Argument&Debate","262
001","96","3.406","32.3","41.7","12.5","6.3","5.2","2.1",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","136","3.210","33.8","29.4","14.7","9.6","5.1","4.4","2.9",".",".",".",".",".",".",".",".","."
"","310
001","48","3.635","62.5","27.1","6.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","310
002","40","3.539","50.0","30.0","7.5","2.5",".","2.5","2.5","5.0",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","Course Total","88","3.593","56.8","28.4","6.8","1.1",".","1.1","3.4","2.3",".",".",".",".",".",".",".","."
"Media & Human Behavior","325
001","74","2.993","24.3","23.0","21.6","10.8","9.5","2.7","5.4",".",".",".",".",".","2.7",".",".","."
"Online Comm & Personal Rltnshp","345
001","100","3.600","51.0","25.0","18.0","5.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346
001","98","3.370","30.6","41.8","11.2","6.1","5.1","2.0","1.0",".",".",".",".",".","2.0",".",".","."
"Race, Ethnicity, and Media","347
001","32","3.328","31.3","31.3","15.6","15.6","6.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","175","3.512","51.4","21.7","12.0","8.0","2.9","1.7","0.6","1.1","0.6",".",".",".",".",".",".","."
"Television Industries","351
001","86","3.355","37.2","32.6","16.3","8.1","1.2","1.2","3.5",".",".",".",".",".",".",".",".","."
"Film Genres","354
001","41","3.194","19.5","24.4","22.0","14.6","7.3",".",".","9.8",".",".",".",".",".",".","2.4","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 212 of 469",""
