"ALS","","","","","","","","","","","","","","","","","","","","","",""
"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","Dept. Total","1570","3.324","38.9","18.5","23.2","8.1","4.9","1.3","0.7","1.9","",".",".","",".","1.5","",".",".","0.8","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.033","13.3","40.0","26.7","6.7","6.7",".","6.7",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","230","3.134","23.0","27.0","27.4","10.9","7.8","2.2","1.7",".","",".",".","",".",".","",".",".",".","."
"Junior","","502","3.371","39.2","22.1","23.5","10.0","4.2","0.4","0.6",".","",".",".","",".",".","",".",".",".","."
"Senior","","601","3.314","40.6","16.6","26.1","8.0","5.3","2.2","0.5",".","",".",".","",".","0.3","",".",".","0.2","0.2"
"Undergraduates","","1348","3.299","36.8","20.7","25.4","9.2","5.3","1.5","0.8",".","",".",".","",".","0.1","",".",".","0.1","0.1"
"Special","","35","3.095","17.1","5.7","25.7","2.9","14.3",".",".",".","",".",".","",".",".","",".",".","34.3","."
"Graduate","","179","3.745","58.1","5.6","7.8","1.1",".",".",".","15.1","",".",".","",".","12.3","",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","4","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","8","4.000","62.5",".",".",".",".",".",".","37.5","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1570","3.324","38.9","18.5","23.2","8.1","4.9","1.3","0.7","1.9","",".",".","",".","1.5","",".",".","0.8","0.1"
