"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","14","3.462","50.0","14.3","7.1","14.3","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"","101
002","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","18","3.444","44.4","27.8","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","101
004","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","23","3.543","65.2","13.0","8.7",".","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","117","3.681","65.0","19.7","7.7","2.6","2.6","1.7",".",".",".",".",".",".","0.9",".",".","."
"","102
001","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.526","57.9","21.1","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","102
003","16","3.469","50.0","12.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
005","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","67","3.649","65.7","14.9","11.9","1.5","4.5","1.5",".",".",".",".",".",".",".",".",".","."
"","203
001","9","3.167","33.3","44.4",".","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","203
002","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","18","3.618","55.6","22.2","5.6","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","203
005","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","78","3.721","66.7","21.8","5.1","2.6","1.3",".","1.3","1.3",".",".",".",".",".",".",".","."
"","204
001","20","3.550","70.0","5.0","10.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","204
002","14","3.577","50.0","21.4","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"","204
003","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","18","3.794","77.8",".","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","69","3.716","72.5","8.7","7.2","5.8","1.4","1.4",".","2.9",".",".",".",".",".",".",".","."
"French Lit & Interdis Studies","211
001","72","3.586","63.9","15.3","8.3","4.2","1.4","1.4","2.8","2.8",".",".",".",".",".",".",".","."
"","228
003","32","3.871","78.1","12.5","6.3",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","228
004","29","3.672","48.3","37.9","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","61","3.775","63.9","24.6","9.8",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"","271
001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Comics & Film in French","Course Total","53","3.887","79.2","18.9","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rebellious Women","285
001","47","3.713","74.5","10.6","10.6",".","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Doctors without Borders","288
001","123","3.935","90.2","6.5","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition and Speaking","311
002","26","3.500","53.8","19.2","11.5","11.5",".","3.8",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl&Early Mod French Lit","321
001","15","3.500","46.7","26.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Modern French&Francophone Lit","322
001","24","3.609","62.5","16.7","12.5",".",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"Visual Cultr-Fr/Francophone St","325
001","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aspects-Contemp French Lit","467
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Phonetics","590
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of French","820
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Literature Questions","947
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 243 of 469",""
