"","990
083","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
086","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
090","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","58","",".",".",".",".",".",".",".","98.3","",".",".","",".","1.7",".",".",".","."
"970
ZOOLOGY","Dept. Total","1786","3.222","44.6","12.6","19.0","4.2","9.9","2.9","0.9","3.5","",".","1.1","",".","0.7","0.2",".","0.4","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","75","2.924","34.7","17.3","16.0","1.3","21.3","6.7","2.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","315","3.018","26.0","14.3","33.0","5.4","15.9","4.4","0.3",".","",".",".","",".",".","0.6",".",".","."
"Junior","","477","3.161","36.7","15.9","24.7","6.7","9.9","4.2","1.5",".","",".","0.4","",".",".",".",".",".","."
"Senior","","757","3.416","58.4","11.4","13.2","3.0","7.7","1.7","0.4",".","",".","2.2","",".","1.6","0.3",".",".","0.1"
"Undergraduates","","1624","3.213","44.6","13.5","20.6","4.5","10.5","3.2","0.8",".","",".","1.2","",".","0.7","0.2",".",".","0.1"
"Special","","24","2.346","8.3","16.7",".","4.2","12.5",".","12.5","16.7","",".",".","",".",".",".",".","29.2","."
"Graduate","","138","3.743","50.0","0.7","3.6","0.7","2.2",".",".","42.0","",".",".","",".","0.7",".",".",".","."
"","Dept. Total","1786","3.222","44.6","12.6","19.0","4.2","9.9","2.9","0.9","3.5","",".","1.1","",".","0.7","0.2",".","0.4","0.1"
