"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"Survey of Horticulture
120","001","","72","3.629","72.2","11.1","4.2","2.8","2.8",".","4.2",".",".",".",".",".",".","2.8",".","."
"Horticulture Colloquium
121","001","","38","3.200","34.2","18.4","23.7","2.6","7.9",".","5.3","7.9",".",".",".",".",".",".",".","."
"Sustainable Turf Management
261","001","","22","3.028","9.1","22.7","27.3","9.1","13.6",".",".",".",".",".",".",".",".","18.2",".","."
"Landscape Plants I
263","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Human History of Plant&Science
301","001","","14","3.214","64.3",".","14.3",".","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"Environment of Hort Plants
320","001","","20","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Cell Cult. & Genet. Eng.
340","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plants and Human Wellbeing
350","001","","67","3.048","13.4","34.3","14.9","19.4","7.5",".","3.0","7.5",".",".",".",".",".",".",".","."
"Plants&Human Wellbeing Compan
351","001","","13","3.615","46.2","46.2",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"World Vegetable Crops
370","001","","23","3.065","21.7","26.1","26.1","13.0","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Seminar in Organic Agriculture
372","001","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tropical Horticultural Systems
376","001","","29","3.534","44.8","27.6","20.7","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"571","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Pract-Horticulture Teaching
799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biometric Proc-Plnt Breedng
811","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Breeding
957","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","30","",".",".",".",".",".",".",".","46.7",".",".",".","53.3",".",".",".","."
