"INTERNATIONAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101","001","209","3.447","45.9","24.9","13.9","6.2","5.7","1.9","0.5","1.0",".",".",".",".",".",".",".","."
"","110","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","110","002","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110","003","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110","004","18","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","110","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Learning Community Sem","","Course Total","38","",".",".",".",".",".",".",".",".",".","92.1","7.9",".",".",".",".","."
"","210","001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","210","002","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","210","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","210","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","210","005","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","210","006","9","",".",".",".",".",".",".",".",".",".","77.8","22.2",".",".",".",".","."
"","210","007","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intl Learning Community Lang","","Course Total","58","",".",".",".",".",".",".",".",".",".","94.8","5.2",".",".",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212","001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to the Middle East","266","001","17","3.618","52.9","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Universal Basic Income","315","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","002","11","3.500","63.6","9.1",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","","Course Total","16","3.367","62.5","6.3",".","12.5","6.3",".","6.3",".",".",".",".",".",".",".","6.3","."
"Globalization and Education","335","001","16","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"From Fascism to Today","366","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","10","3.200",".","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Cold War","375","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","401","001","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Globl Econ","402","002","39","3.308","28.2","41.0","12.8","10.3","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","403","005","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contentious Politics","431","001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","001","15","3.633","80.0","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","601","002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","","Course Total","22","3.727","81.8","9.1","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Politics&Policy in Global Econ","602","001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","603","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","","Course Total","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620","002","10","3.500","80.0",".","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Topics-International Studies","","Course Total","13","3.545","84.6",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
