"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Bodies, Diseases, and Healers
212
001","70","3.471","38.6","31.4","17.1","7.1","4.3","",".","",".","1.4",".","",".",".","",".","","",".",".",".","."
"Health, Disease&Healing II
508
001","17","3.561","35.3","41.2","11.8","5.9",".","",".","",".",".",".","",".",".","",".","","",".",".","5.9","."
"Ethics and the Brain
534
001","21","3.952","90.5","9.5",".",".",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Eth & Reg Iss-Clin Investigatn
545
001","8","3.500","37.5","12.5","37.5",".",".","",".","",".","12.5",".","",".",".","",".","","",".",".",".","."
"Health, Disease and Healing II
708
001","1","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Introduction to Bioethics
729
101","11","",".",".",".",".",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"Ethics & U.S. Health Policy
742
009","7","",".",".",".",".",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"Intro to Med Humanities
744
007","15","",".",".",".",".",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"Race,Science&Med:Past&Present
746
009","18","",".",".",".",".",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"Dept. Total
452
MED HIST","168","3.580","33.3","19.0","10.1","3.6","1.8","",".","",".","31.5","",".",".","",".","",".","",".",".","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","18","3.278","33.3","16.7","27.8","16.7","5.6","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","27","3.481","33.3","40.7","18.5","3.7","3.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","23","3.564","43.5","39.1","8.7","4.3","4.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","41","3.795","68.3","22.0","7.3","2.4",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","109","3.579","48.6","29.4","13.8","5.5","2.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","3","***","","","","","","","","","","","","",".","",".","",".","",".",".","33.3","."
"Graduate","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","11","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","40","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","51","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Dept. Total","168","3.580","33.3","19.0","10.1","3.6","1.8","",".","",".","31.5","",".",".","",".","",".","",".",".","0.6","."
