"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","286","3.093","22.0","21.3","22.0","23.8","10.1","0.7",".",".",".",".",".",".",".",".",".","."
"","103
002","240","2.975","20.4","16.3","24.2","20.4","15.0","1.7","0.8","1.3",".",".",".",".",".",".",".","."
"","103
003","173","3.168","27.2","24.3","23.1","12.7","9.8","2.3","0.6",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","699","3.071","22.7","20.3","23.0","19.9","11.7","1.4","0.4","0.4",".",".",".",".",".",".",".","."
"","104
001","226","3.088","24.3","24.3","16.8","19.9","12.4","1.3","0.9",".",".",".",".",".",".",".",".","."
"","104
002","111","3.059","21.6","18.0","26.1","20.7","10.8","1.8",".",".",".",".",".",".","0.9",".",".","."
"General Physics","Course Total","337","3.079","23.4","22.3","19.9","20.2","11.9","1.5","0.6",".",".",".",".",".","0.3",".",".","."
"Physics of Sports","106
001","54","3.259","48.1","18.5","11.1","7.4","3.7","9.3","1.9",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","64","3.724","76.6","4.7","3.1","1.6",".","1.6","3.1","9.4",".",".",".",".",".",".",".","."
"","109
001","158","3.522","48.1","27.8","10.8","7.6","4.4",".","0.6",".",".",".",".",".",".",".","0.6","."
"","109
002","87","3.559","54.0","21.8","10.3","4.6","5.7","1.1",".",".",".",".",".",".",".",".","2.3","."
"Physics in the Arts","Course Total","245","3.535","50.2","25.7","10.6","6.5","4.9","0.4","0.4",".",".",".",".",".",".",".","1.2","."
"Energy and Climate","115
001","41","3.359","46.3","14.6","12.2","9.8","9.8","2.4",".","4.9",".",".",".",".",".",".",".","."
"General Physics","201
002","151","2.966","26.5","11.9","23.2","10.6","23.2","2.6","0.7",".",".",".",".",".","1.3",".",".","."
"","202
001","279","2.950","21.9","16.8","20.8","15.4","22.9","1.8","0.4",".",".",".",".",".",".",".",".","."
"","202
002","277","2.902","20.2","17.0","18.1","14.8","27.8","1.1","0.4",".",".",".",".",".","0.7",".",".","."
"General Physics","Course Total","556","2.926","21.0","16.9","19.4","15.1","25.4","1.4","0.4",".",".",".",".",".","0.4",".",".","."
"","207
001","139","3.155","29.5","23.7","20.9","12.9","7.9","3.6","1.4",".",".",".",".",".",".",".",".","."
"","207
002","141","3.050","16.3","27.7","24.8","20.6","7.1","2.8","0.7",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","280","3.102","22.9","25.7","22.9","16.8","7.5","3.2","1.1",".",".",".",".",".",".",".",".","."
"General Physics","208
002","147","3.129","24.5","21.8","27.2","16.3","6.1","4.1",".",".",".",".",".",".",".",".",".","."
"","235
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","235
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Solid State Electronics","Course Total","7","3.500","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".","."
"Intro to Modern Physics","241
001","43","3.663","74.4","9.3",".","7.0","9.3",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","60","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","24","3.563","45.8","29.2","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","50","3.080","18.0","20.0","34.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","299
162","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
175","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","307
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","16","3.733","62.5","12.5","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","25","3.792","72.0","8.0","16.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Mechanics","311
001","63","3.333","42.9","20.6","15.9","7.9","9.5","3.2",".",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","39","3.141","17.9","38.5","17.9","10.3","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","33","3.375","21.2","42.4","24.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".","3.0"
"Thermal Physics","415
001","28","3.375","32.1","21.4","35.7","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","45","3.300","28.9","26.7","35.6","2.2","4.4",".","2.2",".",".",".",".",".",".",".",".","."
"Directed Study","499
280","1","***","","","","","","","","","",".",".",".",".",".",".","."
