"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","210
002","21","3.667","90.5",".",".",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","210
003","18","3.778","83.3",".","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","210
004","22","3.818","77.3","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","18","3.639","61.1","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","22","3.795","90.9","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","210
008","20","3.525","70.0","10.0","5.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","210
009","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
011","22","3.568","77.3","4.5",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","210
012","20","3.850","95.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","210
013","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","247","3.775","83.8","6.1","3.6","2.4","1.2","1.6","1.2",".",".",".",".",".",".",".",".","."
"Communicating About Careers","215
001","147","3.816","85.7","4.1","4.8","1.4","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"","250
001","18","3.951","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","17","3.972","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","13","3.893","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","14","3.931","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","250
005","17","3.889","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","16","3.948","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","250
007","16","3.939","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","15","3.931","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
009","16","3.900","68.8","18.8",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","250
010","15","3.968","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Undergrad Research Experience","Course Total","157","3.933","82.8","11.5","1.3",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Bradley Peer Mentor Course","257
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","49","3.867","85.7","6.1","6.1",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Methods in Applied Social Sci","301
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
