"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills Undergrads","111
001","121","3.831","86.0","5.8","4.1","1.7","0.8","0.8","0.8",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","116","3.698","70.7","12.9","7.8","4.3","3.4","0.9",".",".",".",".",".",".",".",".",".","."
"","201
001","68","3.669","64.7","19.1","7.4","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","201
002","60","3.633","63.3","18.3","13.3","1.7",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"","201
003","54","3.611","59.3","25.9","5.6","3.7","1.9","3.7",".",".",".",".",".",".",".",".",".","."
"","201
004","64","3.891","84.4","12.5","1.6",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","201
103","12","3.208","33.3","33.3","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Consumer Insights","Course Total","258","3.682","66.7","19.4","7.4","2.3","2.3","1.2","0.8",".",".",".",".",".",".",".",".","."
"","250
001","268","3.940","92.9","3.7","1.9","0.7",".","0.4",".",".",".",".",".",".",".",".","0.4","."
"","250
101","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Retail Leadership Symposium","Course Total","271","3.926","92.6","3.7","1.8","0.7",".","0.4","0.4",".",".",".",".",".",".",".","0.4","."
"Finc'l Svcs Leadership Sympos","251
001","117","3.701","78.6","6.8","5.1","3.4","3.4","0.9","1.7",".",".",".",".",".",".",".",".","."
"","257
001","129","3.698","65.1","20.9","8.5","2.3","2.3",".","0.8",".",".",".",".",".",".",".",".","."
"","257
002","125","3.790","72.0","18.4","4.8","2.4","1.6",".",".",".",".",".",".",".",".","0.8",".","."
"","257
102","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Retail","Course Total","258","3.745","68.6","19.8","6.6","2.3","1.9",".","0.4",".",".",".",".",".",".","0.4",".","."
"Finances & Families","273
001","44","3.750","68.2","22.7","2.3","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"","275
001","99","3.712","60.6","25.3","11.1","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","275
002","96","3.500","31.3","39.6","18.8","3.1","2.1",".",".",".",".",".",".",".",".",".","5.2","."
"","275
003","59","3.780","79.7","11.9","3.4","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","275
102","7","3.357","71.4",".",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","261","3.643","54.4","26.8","11.9","2.7","1.5","0.4","0.4",".",".",".",".",".",".",".","1.9","."
"","301
001","14","3.393","42.9","21.4","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","301
002","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Analytics","Course Total","29","3.534","41.4","37.9","10.3","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","321
001","191","3.905","89.5","5.2","1.6","2.1","1.0",".",".",".",".",".",".",".",".",".","0.5","."
"Financial Assets & Capability","340
001","47","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","60","3.617","50.0","31.7","15.0","1.7",".","1.7",".",".",".",".",".",".",".",".",".","."
"","355
002","59","3.551","40.7","33.9","22.0","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Financial Coaching","Course Total","119","3.584","45.4","32.8","18.5","1.7","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","46","3.772","65.2","26.1","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","465
001","18","3.667","66.7","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","477
001","51","3.440","23.5","54.9","9.8","7.8",".","2.0",".","2.0",".",".",".",".",".",".",".","."
"","477
002","45","3.122","15.6","46.7","22.2","4.4","2.2","4.4","4.4",".",".",".",".",".",".",".",".","."
"","477
102","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","108","3.346","25.0","48.1","14.8","5.6","0.9","2.8","1.9","0.9",".",".",".",".",".",".",".","."
"","555
001","76","3.809","72.4","17.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
002","72","3.917","84.7","13.9","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
003","62","3.581","37.1","45.2","16.1",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","555
103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","211","3.777","65.9","24.6","9.0",".","0.5",".",".",".",".",".",".",".",".",".",".","."
