"Summary by Level","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"MED PHYS","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","5","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","15","3.912","86.7",".","6.7",".","",".",".","",".",".","",".",".",".",".",".",".","6.7","."
"Undergraduates","21","3.936","90.5",".","4.8",".","",".",".","",".",".","",".",".",".",".",".",".","4.8","."
"Special","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","279","3.851","65.9","10.8","2.9","0.4","",".","0.4","",".","9.3","",".",".",".","8.2",".",".","2.2","."
"Prof Yr 3","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
305","3.860","68.2","9.8","3.0","0.3","",".","0.3","",".","8.5","",".",".",".","7.5",".",".","2.3","."
