"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"400","003","","27","3.960","88.9",".","3.7",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","","85","3.570","58.8","16.5","11.8","4.7","3.5","1.2",".","3.5",".",".",".",".",".",".",".","."
"Intro to Museum Studies
405","001","","15","3.841","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology
410","001","","43","3.060","37.2","7.0","25.6","9.3","11.6","2.3","4.7","2.3",".",".",".",".",".",".",".","."
"Compar Anatomy-Vertebrates
430","001","","22","3.091","36.4","9.1","22.7",".","31.8",".",".",".",".",".",".",".",".",".",".","."
"General Ecology
460","001","","20","3.350","30.0","45.0","5.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Neurobiology Seminar
500","001","","186","4.000","99.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.5"
"Neurobiology
523","001","","207","3.123","24.2","25.6","26.1","9.7","10.1","3.4","1.0",".",".",".",".",".",".",".",".","."
"Theoretical Ecology
540","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Developmental Biology
555","001","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cell Biology
570","001","","108","2.819","25.9","4.6","30.6","5.6","25.0","6.5","1.9",".",".",".",".",".",".",".",".","."
"Endocrinology
603","001","","28","2.911","39.3","14.3",".","10.7","21.4","14.3",".",".",".",".",".",".",".",".",".","."
"Biology of Mind
619","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology
651","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology
660","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","11","",".",".",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".","."
"682","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"698","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 361 of 469",""
