"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","130","2.912","17.7","19.2","22.3","21.5","14.6","3.1","1.5",".",".",".",".",".",".",".",".","."
"","300
002","135","3.063","18.5","25.9","25.2","17.8","10.4","0.7","1.5",".",".",".",".",".",".",".",".","."
"","300
003","124","2.964","23.4","16.9","22.6","16.1","14.5","6.5",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","389","2.981","19.8","20.8","23.4","18.5","13.1","3.3","1.0",".",".",".",".",".",".",".",".","."
"Principles & Tech-Qual Mgmt","351
001","28","3.875","82.1","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
100","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","30","3.633","36.7","53.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","35","3.443","34.3","42.9","5.7","11.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"","451
002","14","3.500","28.6","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","49","3.459","32.7","44.9","8.2","10.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"","452
001","50","3.620","44.0","36.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
002","43","3.860","76.7","18.6","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","93","3.731","59.1","28.0","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
020","35","3.571","48.6","17.1","34.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","36","3.500","36.1","33.3","25.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","55","3.936","87.3","12.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","37","3.878","75.7","24.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","163","3.748","65.0","20.9","12.9","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","40","3.650","47.5","35.0","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","728
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","25","3.260","40.0","16.0","20.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","752
001","40","3.663","50.0","32.5","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
010","65","3.938","92.3","4.6","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","752
011","49","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","154","3.795","79.2","14.9","5.2","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
055","14","3.269","35.7","21.4","28.6",".",".",".","7.1",".",".",".",".",".",".",".","7.1","."
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","2","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
