"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Intro Applied Econometrics","400","001","127","3.039","22.0","22.0","19.7","18.9","15.0","2.4",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410","001","75","3.253","30.7","21.3","25.3","18.7","2.7",".","1.3",".",".",".",".",".",".",".",".","."
"","420","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","11","2.955",".","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","38","3.095","26.3","23.7","21.1","10.5","7.9","7.9",".","2.6",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","69","3.058","26.1","24.6","18.8","15.9","7.2","4.3","2.9",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450","001","37","3.041","18.9","24.3","27.0","16.2","10.8",".","2.7",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","78","3.019","20.5","16.7","32.1","15.4","9.0","5.1",".","1.3",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","41","3.707","61.0","19.5","19.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","83","2.994","20.5","22.9","16.9","21.7","15.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","63","3.500","44.4","27.0","19.0","6.3","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","35","3.871","80.0","14.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Analys","521","001","43","3.360","34.9","32.6","18.6","7.0","4.7",".","2.3",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insuring Life's Risks","530","001","38","3.158","18.4","34.2","28.9","7.9","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","37","3.243","18.9","37.8","27.0","5.4","10.8",".",".",".",".",".",".",".",".",".",".","."
"Fund Data Analytics for Econ","570","001","117","3.795","69.2","20.5","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Issues in Internatl Trade","664","001","18","3.667","61.1","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","681","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics in Economics","690","001","42","3.560","33.3","54.8","7.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Econ Data Analysis","695","002","34","3.409","50.0","11.8","20.6","2.9","8.8","2.9",".",".",".",".",".",".",".","2.9",".","."
"","699","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","001","70","3.619","41.4","35.7","18.6",".",".",".",".",".",".",".",".",".","1.4","2.9",".","."
"","700","002","22","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematics for Economists","","Course Total","92","3.601","40.2","35.9","20.7",".",".",".",".",".",".",".",".",".","1.1","2.2",".","."
"","701","001","68","3.554","32.4","41.2","22.1",".",".",".",".",".",".",".",".",".","1.5","2.9",".","."
"","701","002","24","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","","Course Total","92","3.539","33.7","37.0","26.1",".",".",".",".",".",".",".",".",".","1.1","2.2",".","."
