"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foundations in Art Education
323
002","","20","3.700","60.0","20.0","20.0",".","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Methods in Art Education
324
001","","20","3.600","55.0","20.0","15.0","10.0","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Practicum in Art Education
327
001","","19","3.816","68.4","26.3","5.3",".","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Dept. Total
176
ART ED","","59","3.731","61.0","22.0","13.6","3.4","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","42","3.661","54.8","21.4","19.0","4.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","42","3.661","54.8","21.4","19.0","4.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","17","3.909","76.5","23.5",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","59","3.731","61.0","22.0","13.6","3.4","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
