"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","16","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","308","3.501","55.8","16.9","17.5","5.2","3.9","0.6","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","421","3.551","72.7","12.4","6.9","5.0","1.9","0.7","",".","",".","",".",".","",".","",".","0.2",".","0.2","."
"Prof Yr 3","622","3.674","67.7","16.4","11.3","3.9","0.8",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","185","3.962","93.0","6.5","0.5",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","1536","3.724","69.7","14.2","10.0","4.0","1.6","0.3","",".","",".","",".",".","",".","",".","0.1",".","0.1","."
