"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prin&Prac-Nuclr Reactr Oper
234","001","","13","2.808","15.4","7.7","38.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Nuclear Engr
305","001","","27","2.889","18.5","22.2","29.6","7.4","11.1","7.4","3.7",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Analysis
406","001","","7","3.800","57.1",".","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Nuclear Reactor Engineering
411","001","","16","3.400","62.5","12.5","6.3",".",".","6.3","6.3","6.3",".",".",".",".",".",".",".","."
"Nuclear Engr Materials
423","001","","17","3.219","5.9","41.2","35.3","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Nuclear Instrumentation Lab
427","001","","18","3.472","38.9","27.8","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory
428","001","","9","3.833","55.6",".","11.1",".",".",".",".",".",".",".",".",".","22.2",".","11.1","."
"Introduction to Plasmas
525","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Power-Thermonuclear Fusion
536","001","","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Power Plant Technology
565","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Phys and Bio Effects
569","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Waves&Instabilities-Plasmas
724","001","","11","3.500","27.3","36.4","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","15","",".",".",".",".",".",".",".","53.3",".",".",".","46.7",".",".",".","."
"890","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","30","",".",".",".",".",".",".",".","63.3","3.3",".",".","33.3",".",".",".","."
"Seminar in Plasma Physics
922","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 156 of 469",""
