"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","",""
"Stem Cell Seminar
625","001","","37","4.000","97.3",".",".",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Heart Biology and Regeneration
670","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","33","3.978","97.0",".","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developmental Genetics
710","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"IP, Patents, and Licensing
800","001","","27","3.889","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus of Biotech: Fundamentals
802","001","","27","3.815","66.7","29.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Technologies I
803","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biotech Reg and Ethics
804","001","","27","3.278","22.2","25.9","44.4",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Early Drug Discovery
830","001","","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Technologies III
834","001","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus of Biotech:Challenges&Apps
841","001","","27","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
