"CURRICULUM AND INSTRUCTIO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Crit Aspects Teach, Schl, Educ","240","001","45","3.922","84.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277","001","168","3.943","92.9","4.2","1.2",".","1.2",".",".",".",".",".",".",".","0.6",".",".","."
"Latinx Literacies","306","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Language Acquisition and Use","311","001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Issues","312","001","106","3.948","94.3","0.9","2.8",".","0.9",".",".",".",".",".",".",".","0.9",".",".","."
"ESL/Bilingual Methods","316","001","42","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 1","319","001","72","3.903","84.7","11.1","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Arts Integration","328","001","29","3.862","86.2","3.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Education Outside School","331","001","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Cult Fndtns-Lrng & Dev","339","001","78","3.981","96.2","1.3","1.3",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"","357","001","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","002","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","003","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","004","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","005","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design I","","Course Total","89","3.910","86.5","9.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359","001","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","367","001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","002","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","003","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","004","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elementary Educ. Practicum II","","Course Total","95","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","370","001","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","002","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","003","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","004","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","","Course Total","96","3.932","87.5","11.5","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","371","001","119","3.954","94.1","3.4","1.7","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","372","001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Teaching Practicum III","373","001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching Science-Sec Schl","390","001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of English","396","001","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Race, Intersection & Equity","406","001","128","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preparing to Teach Abroad","418","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","432","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","432","002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 86 of 469"
