"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","114","3.311","7.0","62.3","22.8","3.5","3.5","0.9",".",".",".",".",".",".",".",".",".","."
"","300
002","43","3.372","27.9","41.9","20.9","4.7","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","300
003","46","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","47","3.457","23.4","51.1","21.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","300
005","48","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","45","3.344","20.0","44.4","28.9","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","300
007","45","3.878","80.0","17.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","46","3.533","32.6","45.7","19.6",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","300
009","48","3.583","33.3","56.3","6.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","300
010","47","3.543","21.3","66.0","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","47","3.649","36.2","57.4","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","47","3.457","27.7","46.8","17.0","6.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"","300
100","46","3.304","21.7","39.1","28.3","4.3","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","669","3.531","34.4","46.0","14.9","2.2","1.8","0.4","0.1",".",".",".",".",".",".",".",".","."
"","305
001","58","3.957","94.8","1.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","43","3.952","93.0",".","4.7",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Human Resource Management","Course Total","101","3.955","94.1","1.0","4.0",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","35","3.886","82.9","11.4","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","215","3.349","28.4","22.8","42.8","3.3","2.3","0.5",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
071","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
146","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","27","3.074","7.4","37.0","37.0","14.8",".",".","3.7",".",".",".",".",".",".",".",".","."
"","401
100","43","3.012","7.0","37.2","32.6","16.3","2.3",".","4.7",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","70","3.036","7.1","37.1","34.3","15.7","1.4",".","4.3",".",".",".",".",".",".",".",".","."
"","403
001","21","3.762","76.2","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","34","3.765","70.6","14.7","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","39","3.462","17.9","56.4","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","77","3.727","58.4","28.6","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","78","3.994","98.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","24","3.625","70.8","12.5","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 57 of 469",""
