"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","271","3.213","36.9","20.3","15.5","10.7","11.4","3.0","1.1","1.1",".",".",".",".",".",".",".","."
"Global Language Issues","211","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Linguistics","303","001","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonology","310","001","37","3.351","37.8","24.3","24.3","2.7","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"Syntax","330","001","35","3.229","28.6","17.1","42.9",".","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"American Sign Language 1","351","001","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371","001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373","001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Linguistics","","Course Total","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","481","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","481","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","481","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Advanced Morphology","522","001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of a Language","571","001","11","3.850","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Capstone in Linguistics","690","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","12","3.921","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods&Materials","800","001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Seminar","977","100","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","999","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
