"L&S","","","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","",""
"424
GERMAN","Dept. Total","707","3.645","65.1","17.7","7.4","4.1","1.7","0.6","1.3","1.0","",".","0.3","",".","0.6","0.1",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","96","3.507","52.1","26.0","12.5","5.2","1.0","2.1","1.0",".","",".",".","",".",".",".",".",".","."
"Sophomore","","212","3.670","65.1","19.8","8.0","4.7","1.4",".","0.9",".","",".",".","",".",".",".",".",".","."
"Junior","","174","3.589","65.5","18.4","6.3","3.4","3.4","0.6","2.3",".","",".",".","",".",".",".",".",".","."
"Senior","","149","3.701","72.5","13.4","6.7","2.7","1.3","0.7","1.3","0.7","",".",".","",".",".","0.7",".",".","."
"Undergraduates","","631","3.629","65.0","18.9","7.9","4.0","1.9","0.6","1.4","0.2","",".",".","",".",".","0.2",".",".","."
"Special","","13","3.622","53.8","7.7","7.7","15.4",".",".",".","7.7","",".",".","",".",".",".",".","7.7","."
"Graduate","","62","3.869","67.7","8.1","1.6","3.2",".",".",".","8.1","",".","3.2","",".","6.5",".",".","1.6","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","707","3.645","65.1","17.7","7.4","4.1","1.7","0.6","1.3","1.0","",".","0.3","",".","0.6","0.1",".","0.3","."
