"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","349
001","46","3.185","39.1","15.2","15.2","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","349
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Time Series","Course Total","52","3.279","46.2","13.5","13.5","11.5","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"","371
001","103","2.714","25.2","6.8","14.6","19.4","21.4","11.7","1.0",".",".",".",".",".",".",".",".","."
"","371
002","115","2.974","27.0","12.2","25.2","10.4","20.9","3.5","0.9",".",".",".",".",".",".",".",".","."
"","371
003","114","3.000","32.5","6.1","23.7","14.9","19.3","1.8","1.8",".",".",".",".",".",".",".",".","."
"","371
004","100","2.865","25.0","7.0","21.0","20.0","22.0","5.0",".",".",".",".",".",".",".",".",".","."
"","371
005","94","2.697","24.5","9.6","13.8","14.9","25.5","8.5","3.2",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","526","2.858","27.0","8.4","20.0","15.8","21.7","5.9","1.3",".",".",".",".",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","411
001","24","3.688","79.2","8.3","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","411
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Survey Theory & Meths","Course Total","27","3.722","81.5","7.4","3.7","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","50","3.530","42.0","34.0","22.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","431
001","8","3.250","37.5","12.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","431
002","8","3.063","50.0",".","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"","431
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","24","3.083","41.7","8.3","16.7","16.7","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"","451
001","56","3.205","26.8","21.4","32.1","5.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","451
002","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
003","66","3.485","43.9","19.7","28.8","4.5","3.0",".",".",".",".",".",".",".",".",".",".","."
"","451
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning","Course Total","137","3.409","40.1","20.4","27.7","4.4","7.3",".",".",".",".",".",".",".",".",".",".","."
"","461
001","29","3.466","62.1","10.3","6.9","13.8","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","461
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statistics","Course Total","38","3.566","65.8","13.2","5.3","10.5","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","8","3.000","37.5",".","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"","475
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","12","3.042","41.7","8.3","16.7",".","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","479
001","45","3.956","97.8",".",".",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","479
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","53","3.962","98.1",".",".",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","8","2.313","12.5","12.5","25.0",".","25.0","12.5","12.5",".",".",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","53","3.528","37.7","32.1","28.3","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","571
002","41","3.350","22.0","39.0","29.3","4.9",".","2.4",".",".",".",".",".",".",".","2.4",".","."
"Stat Meth for Bioscience I","Course Total","94","3.452","30.9","35.1","28.7","3.2",".","1.1",".",".",".",".",".",".",".","1.1",".","."
"","601
001","18","2.778","5.6",".","66.7","22.2",".",".","5.6",".",".",".",".",".",".",".",".","."
"","601
002","32","3.609","40.6","40.6","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
