"Mediaeval Latin","563
001","","8","4.000","100.0",".",".",".","",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"","890
041","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","890
042","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","Dept. Total","","85","3.673","61.2","17.6","12.9","3.5","",".","1.2","",".","2.4","",".",".","",".","1.2","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","20","3.599","45.0","30.0","20.0","5.0","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","","24","3.832","75.0","16.7","8.3",".","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","10","3.231","50.0","10.0","10.0","20.0","",".","10.0","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","11","3.487","36.4","27.3","36.4",".","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","65","3.612","55.4","21.5","16.9","4.6","",".","1.5","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","","18","3.967","77.8","5.6",".",".","",".",".","",".","11.1","",".",".","",".","5.6","",".",".",".","."
"","Dept. Total","","85","3.673","61.2","17.6","12.9","3.5","",".","1.2","",".","2.4","",".",".","",".","1.2","",".",".",".","."
