"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","23","3.174","56.5","4.3","17.4","4.3",".","13.0","4.3",".",".",".",".",".",".",".",".","."
"","101
002","22","3.523","40.9","36.4","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
003","21","3.550","57.1","19.0","9.5",".","4.8","4.8",".","4.8",".",".",".",".",".",".",".","."
"","101
004","19","3.184","31.6","21.1","26.3","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","101
005","23","3.391","52.2","13.0","13.0","4.3","17.4",".",".",".",".",".",".",".",".",".",".","."
"","101
006","19","3.237","36.8","10.5","26.3","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"","101
007","22","3.045","45.5","9.1","4.5","9.1","22.7","9.1",".",".",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","149","3.301","46.3","16.1","15.4","6.0","10.1","4.7","0.7","0.7",".",".",".",".",".",".",".","."
"","102
001","22","3.068","31.8","22.7","18.2",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.333","19.0","42.9","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.250","31.8","22.7","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
004","22","3.364","31.8","27.3","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
006","23","3.500","56.5","13.0","13.0","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
007","22","3.227","31.8","13.6","36.4","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"","102
008","23","3.196","43.5","13.0","17.4","8.7","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","155","3.277","35.5","21.9","23.9","5.2","11.6","1.3","0.6",".",".",".",".",".",".",".",".","."
"","203
001","22","2.977","4.5","40.9","27.3","9.1","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","203
002","21","3.357","42.9","23.8","19.0",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","203
003","24","3.438","50.0","16.7","16.7","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"","203
004","24","3.646","58.3","20.8","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","203
006","22","3.432","63.6","9.1","4.5","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","203
007","23","3.652","56.5","17.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","22","3.523","59.1","9.1","18.2","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","158","3.437","48.1","19.6","18.4","3.2","8.9","1.9",".",".",".",".",".",".",".",".",".","."
"","204
001","20","3.075","15.0","25.0","35.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","204
002","22","3.341","36.4","13.6","36.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","204
003","24","3.438","41.7","25.0","20.8","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","204
004","23","3.696","65.2","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","21","2.905","23.8","23.8","19.0","4.8","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","204
007","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
008","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
009","21","3.524","38.1","38.1","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","175","3.471","48.0","20.6","20.0","5.1","4.0","2.3",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","223
001","110","3.691","72.7","7.3","12.7","1.8","4.5","0.9",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","224
001","90","3.844","83.3","5.6","8.9","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Linguistic Study of Spanish","225
001","85","3.327","30.6","29.4","21.2","9.4","8.2",".",".",".",".",".",".",".",".",".","1.2","."
"","226
001","16","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","226
002","23","3.804","73.9","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
003","23","3.717","69.6","13.0","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","226
004","23","3.565","30.4","56.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
005","23","3.696","65.2","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
007","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
