"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","602
001","27","3.957","77.8","7.4",".",".",".",".",".",".",".",".",".",".","14.8",".",".","."
"","602
002","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","45","3.889","95.6",".","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Info: Org and Search","Course Total","88","3.923","89.8","3.4","1.1",".",".",".","1.1",".",".",".",".",".","4.5",".",".","."
"Research and Assessment","603
001","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
002","14","3.679","85.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","611
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","611
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 1","Course Total","43","3.872","93.0","2.3","2.3",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"User Experience Design 3","613
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615
001","91","3.934","91.2","5.5","2.2","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","615
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615
004","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Systems Analysis & Proj Mgmt","Course Total","112","3.928","89.3","6.3","2.7","0.9",".",".",".",".",".",".",".",".",".","0.9",".","."
"Records Management","616
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","622
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","Course Total","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","632
002","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Metadata Standards and XML","Course Total","24","3.913","87.5","4.2",".","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"","635
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","635
002","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","19","3.889","73.7","21.1",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","639
002","22","3.773","72.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","Course Total","41","3.825","73.2","17.1","4.9","2.4",".",".",".",".",".",".",".",".","2.4",".",".","."
"","640
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","20","3.625","65.0","10.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","640
003","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","43","3.663","62.8","16.3","14.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"","644
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom","645
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","646
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
