"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","106
001","","693","",".",".",".",".",".",".",".","0.4",".","99.0","0.6",".",".",".",".","."
"","106
002","","63","",".",".",".",".",".",".",".","3.2",".","95.2","1.6",".",".",".",".","."
"","106
003","","368","",".",".",".",".",".",".",".",".",".","99.5","0.5",".",".",".",".","."
"","106
100","","32","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"Skills for Business Analysis","Course Total","","1156","",".",".",".",".",".",".",".","0.4",".","98.8","0.8",".",".",".",".","."
"","110
001","","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","","29","3.931","93.1",".","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","","27","3.870","81.5","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
006","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
007","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
008","","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
009","","22","3.750","81.8","4.5","9.1",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","110
010","","24","3.833","87.5",".","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","110
011","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","","27","3.907","88.9","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","110
014","","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
015","","22","3.705","63.6","22.7","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","110
016","","26","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
017","","24","3.729","79.2","12.5","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","110
018","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
019","","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
021","","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","110
022","","26","3.808","84.6","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"","110
023","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
024","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
025","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
026","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
027","","25","3.760","76.0","16.0",".",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"","110
029","","26","3.769","76.9","11.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","110
030","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
032","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
033","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
035","","27","3.778","77.8","7.4","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","110
036","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
037","","21","3.762","66.7","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","110
038","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
039","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
043","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
044","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 46 of 469"
