"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"Proseminar-Slavic Lit & Cult
800","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of Russian
820","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","Course Total","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"991","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","8","",".",".",".",".",".",".",".","37.5",".",".",".","62.5",".",".",".","."
