"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","351","3.895","73.8","6.8","1.1",".","0.6","",".","",".","17.4","",".",".","",".","",".","0.3",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","61","3.938","86.9",".",".",".","1.6","",".","",".","11.5","",".",".","",".","",".",".",".",".","."
"Sophomore","","92","3.924","73.9","8.7",".",".",".","",".","",".","17.4","",".",".","",".","",".",".",".",".","."
"Junior","","98","3.897","73.5","7.1","2.0",".",".","",".","",".","17.3","",".",".","",".","",".",".",".",".","."
"Senior","","85","3.851","72.9","8.2","1.2",".","1.2","",".","",".","15.3","",".",".","",".","",".","1.2",".",".","."
"Undergraduates","","336","3.896","75.9","6.5","0.9",".","0.6","",".","",".","15.8","",".",".","",".","",".","0.3",".",".","."
"Special","","17","3.846","35.3","11.8","5.9",".",".","",".","",".","47.1","",".",".","",".","",".",".",".",".","."
"","College Total","353","3.895","73.9","6.8","1.1",".","0.6","",".","",".","17.3","",".",".","",".","",".","0.3",".",".","."
