"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","3474","1.392","12.9","",".","14.7","",".","1.6","0.1","0.1","27.7","",".",".","",".","",".","0.1",".",".","1.3"
"Summary by College/School","","#","Ave","A","AB","","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Special","","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","","681","1.390","16.7","",".","22.5","",".","1.8","0.1",".","0.1","",".",".","",".","",".",".",".",".","0.1"
"Prof Yr 2","","1264","1.380","11.6","",".","13.3","",".","1.3",".","0.1","33.9","",".",".","",".","",".","0.2",".",".","1.7"
"Prof Yr 3","","1465","1.417","12.2","",".","12.4","",".","1.6","0.1","0.1","35.4","",".",".","",".","",".","0.1",".",".","1.4"
"Prof Yr 4","","57","1.159","12.3","",".","12.3","",".","8.8",".",".","14.0","",".",".","",".","",".",".",".",".","."
"Professionals","","3467","1.391","12.9","",".","14.7","",".","1.6","0.1","0.1","27.6","",".",".","",".","",".","0.1",".",".","1.3"
"","College Total","3474","1.392","12.9","",".","14.7","",".","1.6","0.1","0.1","27.7","",".",".","",".","",".","0.1",".",".","1.3"
