"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Elem Stdt Teaching Seminar","467
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Class Mgmt for Inclusive Class","473
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"SE Practicum: Early Child-Elem","475
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","476
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Student Teaching: PK - Gr 9","477
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","","40","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
001","","35","3.956","91.4","2.9","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","505
002","","37","3.946","91.9","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","72","3.951","91.7","4.2","2.8",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","506
001","","13","3.538","76.9",".","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","506
002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","19","3.632","78.9",".","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","515
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","","27","3.886","70.4","3.7","7.4",".",".",".",".",".",".",".",".",".","18.5",".",".","."
"Access to General Curriculum","Course Total","","58","3.953","86.2","1.7","3.4",".",".",".",".",".",".",".",".",".","8.6",".",".","."
"Education Foundations","605
001","","36","3.957","88.9","8.3",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","630
020","","19","4.000","89.5",".",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"","630
021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"","690
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Multiculturl Issues-Special Ed","710
001","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Foundations","732
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal & Ethical Bases of Cnslg","735
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Reh Cnslg-Cnslg Technique","810
001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Cnslg Theory","820
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Diag & Treat","830
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Group Cnslg","840
001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","860
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Spec Education","871
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
001","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","890
002","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"Clin Rehab Cnslg - Pract II","Course Total","","23","4.000","78.3",".",".",".",".",".",".",".",".",".",".",".","21.7",".",".","."
