"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Biological Sci","101
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","15","3.700","73.3",".","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","31","3.823","80.6","6.5","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","106
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","30","3.933","93.3","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","17","3.853","88.2",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","130
001","17","3.706","88.2",".","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","130
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
005","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","130
006","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
007","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","130
008","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
009","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC First-Year Seminar","Course Total","131","3.927","95.4","1.5","0.8","0.8","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"","139
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
002","18","3.417","77.8",".","5.6","5.6",".",".","11.1",".",".",".",".",".",".",".",".","."
"","139
003","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Belong, Explore, Become","Course Total","47","3.713","83.0","4.3","6.4","2.1",".",".","4.3",".",".",".",".",".",".",".",".","."
"","145
001","287","3.955","94.8","2.8","0.7","0.7","0.7",".",".",".",".",".",".",".",".","0.3",".","."
"","145
002","161","3.847","87.0","7.5","1.2","0.6","1.2","0.6","1.2",".",".",".",".",".",".","0.6",".","."
"","145
003","179","3.873","92.2","3.4",".","0.6",".","1.1","1.7",".",".",".",".",".","0.6","0.6",".","."
"","145
004","15","3.667","73.3",".","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"How to Succeed in College","Course Total","642","3.898","91.6","4.0","1.1","0.6","0.8","0.5","0.8",".",".",".",".",".","0.2","0.5",".","."
"","157
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"","157
007","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","121","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"","210
001","21","3.714","71.4","14.3","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 265 of 469",""
