"MANAGEMENT AND HUMAN RES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Diversity in Organizations","617","050","","22","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","628","001","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","002","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","100","","38","3.513","47.4","34.2","13.2",".",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","","106","3.821","80.2","13.2","4.7",".",".","0.9","0.9",".",".",".",".",".",".",".",".","."
"Intro to Arts Entrepreneurship","632","001","","31","3.550","38.7","32.3","22.6","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"Human Resource Management","705","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706","020","","35","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706","021","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leading and Working in Teams","","Course Total","","71","3.986","98.6",".","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710","050","","22","3.614","36.4","50.0","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728","001","","38","3.947","92.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Fellowship Seminar","739","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","741","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Impact Consulting for Arts","746","001","","15","3.433","40.0","6.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev for Arts Leadership","750","001","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","003","","15","3.433","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","","31","3.630","64.5","19.4","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","773","001","","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Learn in Hum Res Mgmt","775","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","975","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Emerging Entrepreneurship","977","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","228","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
