"L&S","","","","","","","","","","","","","","","","","",""
"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"Acad Present. and Discussion
344
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
001","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"345
002","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"345
003","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
American English Pronunciation","29","",".",".",".",".",".",".",".",".",".","93.1","6.9",".",".",".",".","."
"349
002","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"349
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"349
004","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing for Grads","46","",".",".",".",".",".",".",".",".",".","97.8","2.2",".",".",".",".","."
"International TA Training
370
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dept. Total
351
ESL","642","3.736","16.2","4.7","0.6","0.3",".",".","0.6",".",".","73.2","3.6",".","0.8",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"Freshmen","180","3.125","1.7","1.1","1.1",".",".",".","0.6",".",".","91.1","4.4",".",".",".",".","."
"Sophomore","205","3.788","22.9","7.8","1.0",".",".",".","0.5",".",".","62.4","3.4",".","2.0",".",".","."
"Junior","112","3.688","32.1","7.1",".","1.8",".",".","1.8",".",".","51.8","4.5",".","0.9",".",".","."
"Senior","35","3.929","51.4","8.6",".",".",".",".",".",".",".","37.1","2.9",".",".",".",".","."
"Undergraduates","532","3.738","19.5","5.5","0.8","0.4",".",".","0.8",".",".","68.2","3.9",".","0.9",".",".","."
"Special","15","3.500",".","6.7",".",".",".",".",".",".",".","80.0","13.3",".",".",".",".","."
"Graduate","131","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Dept. Total","678","3.736","15.3","4.4","0.6","0.3",".",".","0.6",".",".","74.6","3.4",".","0.7",".",".","."
