"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","9","2.000","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","602
001","12","1.333","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","66","1.227","10.6",".","22.7",".","6.1",".",".",".",".",".",".",".",".",".",".","."
"","711
002","58","1.638","17.2",".","29.3",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","711
004","56","1.589","19.6",".","26.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","180","1.472","15.6",".","26.1",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","714
001","59","1.373","22.0",".","11.9",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","714
002","58","1.534","17.2",".","27.6",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"","714
003","57","1.404","19.3",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","174","1.437","19.5",".","20.1",".","2.3","0.6",".",".",".",".",".",".",".",".",".","."
"","723
001","19","1.684","26.3",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","18","1.167","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","19","1.368","10.5",".","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","19","1.263","15.8",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","18","1.833","16.7",".","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","19","1.579","15.8",".","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","18","1.556","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","18","0.722","5.6",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","20","1.100","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","168","1.363","16.7",".","23.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
001","44","1.286","13.6",".","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","725
002","40","1.425","20.0",".","17.5",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","84","1.354","16.7",".","20.2",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","726
001","57","0.930","12.3",".","12.3",".","3.5",".","1.8",".",".",".",".",".",".",".",".","."
"","726
002","55","1.236","14.5",".","21.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
003","58","1.517","15.5",".","27.6",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","170","1.229","14.1",".","20.6",".","2.4",".","0.6",".",".",".",".",".",".",".",".","."
"","731
001","71","0.762","8.5",".","11.3",".",".",".",".","11.3",".",".",".",".",".",".",".","."
"","731
002","41","1.514","12.2",".","29.3",".",".",".",".","9.8",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","112","1.040","9.8",".","17.9",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
002","21","1.048","9.5",".","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","28","1.560","17.9",".","17.9",".","7.1",".",".","10.7",".",".",".",".",".",".",".","."
"","740
001","53","1.429","15.1",".","15.1",".","3.8",".",".","20.8",".",".",".",".",".",".",".","."
"","740
002","85","1.915","30.6",".","17.6",".","4.7",".",".","3.5",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","138","1.750","24.6",".","16.7",".","4.3",".",".","10.1",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","52","1.395","23.1",".","7.7",".",".",".",".","17.3",".",".",".",".",".",".",".","."
"Taxation I","742
001","35","1.258","8.6",".","25.7",".",".",".",".","11.4",".",".",".",".",".",".",".","."
"","743
001","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","743
002","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","743
003","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","743
004","11","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","18.2"
