"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Independent Work","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"416
GEOG","Dept. Total","1611","3.530","53.8","17.1","12.9","3.6","2.9","1.4","1.7","4.5","",".",".","",".","0.3","1.1","0.1","0.7","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","142","3.368","48.6","16.9","18.3","6.3","5.6","2.8","1.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","330","3.452","50.0","22.4","13.9","4.5","3.9","2.1","2.1","0.3","",".",".","",".",".","0.6",".",".","."
"Junior","","378","3.582","56.6","19.8","16.4","2.6","2.1","1.1","0.8",".","",".",".","",".",".","0.5",".",".","."
"Senior","","452","3.477","53.1","19.2","13.7","4.9","3.1","1.3","2.7","0.2","",".",".","",".","0.2","1.3",".","0.2","."
"Undergraduates","","1302","3.489","52.8","20.0","15.1","4.3","3.3","1.6","1.8","0.2","",".",".","",".","0.1","0.8",".","0.1","."
"Special","","87","3.589","36.8","4.6","4.6","2.3","2.3","1.1","1.1","34.5","",".",".","",".",".",".","1.1","10.3","1.1"
"Graduate","","222","3.826","65.8","5.4","3.6",".","0.9",".","0.9","18.0","",".",".","",".","1.8","3.2",".","0.5","."
"","Dept. Total","1611","3.530","53.8","17.1","12.9","3.6","2.9","1.4","1.7","4.5","",".",".","",".","0.3","1.1","0.1","0.7","0.1"
