"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"702","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"702","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","165","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"702","178","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Cooperative Education","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Program Verification&Synthesis
703","001","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I
714","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Programming
719","001","","12","3.773","75.0",".","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Dynamic Prog & Assoc Topics
723","001","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I
726","001","","24","3.348","29.2","45.8","8.3","4.2","4.2",".","4.2",".",".",".",".",".","4.2",".",".","."
"Adv Computer Architecture I
752","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Aided Desgn-VLSI
756","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Comptr Architecture
758","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPC for Apps in Engr
759","001","","75","3.965","89.3","4.0","1.3",".",".",".",".","4.0",".",".",".",".","1.3",".",".","."
"Machine Learning
760","001","","87","3.718","62.1","26.4","8.0","2.3",".","1.1",".",".",".",".",".",".",".",".",".","."
"Advanced Deep Learning
762","001","","34","3.897","82.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Database Mgt Systems
764","001","","48","3.573","50.0","27.1","10.4","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Natural Lang Processing
769","001","","48","3.840","72.9","18.8","6.3",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Lrning Based Mthds for Com Vis
771","001","","36","3.914","80.6","16.7",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Computational Network  Biology
775","001","","13","3.750","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","160","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","170","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","12","",".",".",".",".",".",".",".","75.0",".",".",".",".","25.0",".",".","."
"799","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","005","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 224 of 469",""
