"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"799","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","3.893","78.6",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".","7.1","."
"Smr:Spec Topics-Art History
800","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Hist,Thry &Meth in Visual Cult
801","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Japanese Art
875","001","","8","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","73.3",".",".",".","26.7",".",".",".","."
