"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","16","3.781","81.3",".","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","15","3.433","66.7","6.7",".","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","100
003","15","3.333","53.3","13.3","13.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
006","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","16","3.469","37.5","37.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
008","15","3.600","66.7","13.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
010","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","16","3.531","75.0","6.3",".",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","100
012","16","3.313","68.8","12.5",".",".","6.3",".","12.5",".",".",".",".",".",".",".",".","."
"","100
013","16","3.469","56.3","12.5","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
014","16","3.438","68.8","6.3","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","100
015","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","15","3.667","73.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
020","15","3.733","80.0","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
021","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
022","15","3.833","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","15","3.400","53.3","20.0","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
024","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","16","3.813","87.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
026","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","16","3.375","68.8","12.5","6.3",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","372","3.659","72.3","11.8","6.7","3.2","3.0","1.1","1.9",".",".",".",".",".",".",".",".","."
"","212
001","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","212
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","16","3.406","68.8","12.5",".","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","212
004","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","60","3.742","81.7","6.7","5.0","1.7","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"Science, Media and Society","251
001","270","3.243","44.8","18.5","8.9","10.4","10.4","3.3","2.6","1.1",".",".",".",".",".",".",".","."
"Marketing Comm for Sciences","270
001","90","3.802","81.1","6.7","3.3",".","2.2","1.1","1.1",".",".",".",".",".","1.1","3.3",".","."
"Honors Independent Study","289
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","88","3.807","71.6","18.2","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","93","3.753","83.9","5.4","4.3","1.1","2.2","1.1","2.2",".",".",".",".",".",".",".",".","."
"Digital Media & Sci Comm","440
001","50","3.890","78.0","22.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","52","3.894","92.3","5.8",".",".",".",".","1.9",".",".",".",".",".",".",".",".","."
