"BUS","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"","780
010","46","3.913","91.3","4.3","2.2",".","2.2",".",".",".",".","",".",".",".","",".",".",".","."
"","780
011","65","3.977","95.4","4.6",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"Cloud Technology","Course Total","111","3.950","93.7","4.5","0.9",".","0.9",".",".",".","",".",".",".","",".",".",".",".","."
"Capstone Consulting Practicum","790
010","30","3.567","23.3","66.7","10.0",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"Business Stats Using Python","881
080","21","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"SQL Fundamentals","882
080","21","3.976","95.2","4.8",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"Data Visualization Cloud Tech","883
080","21","3.976","95.2","4.8",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"Beginning a Research Career","933
001","17","",".",".",".",".",".",".",".","100.0",".","",".",".",".","",".",".",".","."
"231
GEN BUS","Dept. Total","5844","3.427","38.6","20.6","10.9","5.3","3.1","0.7","0.2","0.5","",".","19.9","0.2","",".","0.1","0.0","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","684","3.828","51.6","6.3","2.5","1.0","0.6","0.3","0.1",".","",".","37.3","0.3","",".",".",".",".","."
"Sophomore","","1347","3.306","33.0","9.9","9.8","6.2","3.3","0.2","0.2",".","",".","36.7","0.3","",".","0.3",".",".","."
"Junior","","1292","3.240","31.7","17.3","13.4","8.7","6.0","1.8","0.2","0.1","",".","20.6","0.2","",".","0.2",".",".","."
"Senior","","1346","3.398","30.8","31.1","17.0","7.0","3.8","0.7","0.2","0.3","",".","8.8","0.1","",".","0.1","0.1",".","."
"Undergraduates","","4669","3.351","34.7","17.5","11.8","6.4","3.8","0.8","0.2","0.1","",".","24.3","0.2","",".","0.2","0.0",".","."
"Special","","41","3.220","22.0","14.6","14.6","2.4","2.4","2.4","2.4","12.2","",".","19.5",".","",".",".","2.4","4.9","."
"Graduate","","1134","3.728","54.9","33.5","7.1","0.8","0.4",".",".","1.5","",".","1.9",".","",".",".",".",".","."
"","Dept. Total","5844","3.427","38.6","20.6","10.9","5.3","3.1","0.7","0.2","0.5","",".","19.9","0.2","",".","0.1","0.0","0.0","."
