"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"E M A","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","188","2.739","19.1","14.4","20.7","19.1","13.8","10.6","1.6",".","",".",".","",".",".","0.5",".",".","."
"Junior","","284","3.208","35.2","20.8","25.4","9.9","5.3","1.4","1.8",".","",".",".","",".",".","0.4",".",".","."
"Senior","","284","3.172","31.3","25.0","18.7","11.3","10.2","2.8","0.4",".","",".",".","",".",".",".",".",".","0.4"
"Undergraduates","","760","3.071","29.9","20.7","21.7","12.6","9.2","4.2","1.3",".","",".",".","",".",".","0.3",".",".","0.1"
"Special","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","94","3.452","53.2","11.7","9.6","4.3","3.2","2.1","2.1","12.8","",".",".","",".","1.1",".",".",".","."
"","Dept. Total","857","3.103","32.4","19.6","20.3","11.8","8.5","4.0","1.5","1.4","",".",".","",".","0.1","0.2",".",".","0.1"
