"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","87","3.672","70.1","11.5","9.2","5.7","1.1","2.3",".",".",".",".",".",".",".",".",".","."
"Intro African Lit","201
001","21","3.381","47.6","19.0","9.5","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"","202
001","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","19","3.944","84.2","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Intro African Cultural Studies","Course Total","33","3.781","60.6","30.3","6.1",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Intro Topics African Languages","204
001","20","3.632","40.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","210
001","23","3.591","56.5","17.4","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".","4.3","."
"","210
002","25","3.600","48.0","36.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","210
003","28","3.538","53.6","17.9","14.3","3.6",".",".","3.6",".",".",".",".",".",".",".","7.1","."
"","210
004","20","3.350","45.0","20.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","210
005","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","17","3.206","52.9","17.6","11.8",".","5.9",".","11.8",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","163","3.600","60.1","19.6","10.4","3.7","1.8",".","2.5",".",".",".",".",".",".",".","1.8","."
"Intro to Afr Pop Culture","212
001","24","3.804","87.5","4.2",".",".",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"Intro Arabic Literary Culture","231
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lead with Languages","275
001","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","8","3.063","12.5","37.5","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"African Lit and Visual Culture","303
001","24","3.563","37.5","45.8","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","321
002","13","2.923","38.5","23.1",".","23.1",".",".","15.4",".",".",".",".",".",".",".",".","."
"","321
003","14","3.143","64.3","7.1",".","7.1","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","27","3.037","51.9","14.8",".","14.8","3.7",".","14.8",".",".",".",".",".",".",".",".","."
"","323
001","7","2.857","14.3","14.3","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","323
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","9","2.944","11.1","22.2","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Arabic","329
001","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"First Semester Swahili","331
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Hausa","361
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
002","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","371
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","11","3.318","54.5","9.1","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","373
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","373
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Yoruba","Course Total","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","391
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African Cultural Studies","405
001","12","3.458","75.0",".","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Topics in African Literature","406
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 175 of 469",""
