"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Negotiations","Course Total","48","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","8.3"
"","744
001","78","1.577","20.5",".","24.4",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","744
002","31","0.600","9.7",".","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Administrative Law","Course Total","109","1.306","17.4",".","19.3",".","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","31","1.387","6.5",".","32.3",".","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Legislation","746
001","35","1.543","20.0",".","22.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Patent Law","751
001","12","1.364","25.0",".","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","54","2.000","16.7",".","33.3",".","7.4",".",".","9.3",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","9","",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1",".",".","."
"","771
001","95","1.207","15.8",".","13.7",".","3.2",".",".","8.4",".",".",".",".",".",".",".","."
"","771
002","64","1.203","20.3",".","7.8",".","3.1",".",".","7.8",".",".",".",".",".",".",".","."
"","771
003","18","1.412","16.7",".","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","177","1.236","17.5",".","12.4",".","2.8",".",".","7.9",".",".",".",".",".",".",".","."
"Islamic Law & Jurisprudence","785
001","24","1.063","8.3",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence","801
001","91","1.065","17.6",".","6.6",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","39","1.371","15.4",".","20.5",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"","808
001","12","1.667","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","808
002","16","1.438","12.5",".","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","28","1.536","21.4",".","17.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Accounting and Law","811
001","26","",".",".",".",".",".",".",".","80.8",".",".",".",".",".",".",".","19.2"
"Appellate Advocacy I","814
001","11","1.818","18.2",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
003","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
007","28","",".",".",".",".",".",".",".","82.1",".",".",".",".",".",".",".","17.9"
"Appellate Advocacy II","Course Total","46","",".",".",".",".",".",".",".","89.1",".",".",".",".",".",".",".","10.9"
"Business Organizations I","817
001","49","1.568","16.3",".","22.4",".","4.1",".",".","10.2",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","63","0.877","11.1",".","9.5",".","3.2",".",".","9.5",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","18","0.778","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822
001","46","1.467","19.6",".","21.7",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Insurance Law","825
001","35","1.353","14.3",".","22.9",".","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"International Law","827
001","35","1.625","20.0",".","22.9",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"International Transactions","828
001","27","1.519","18.5",".","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","849
001","16","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"","849
102","12","2.000","25.0",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","Course Total","28","2.000","10.7",".","14.3",".",".",".",".","50.0",".",".",".",".",".",".",".","7.1"
"","850
001","75","1.365","16.0",".","22.7",".","1.3",".",".","1.3",".",".",".",".",".",".",".","."
"","850
002","64","1.556","17.2",".","25.0",".","4.7",".","1.6","1.6",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","139","1.453","16.5",".","23.7",".","2.9",".","0.7","1.4",".",".",".",".",".",".",".","."
