"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","80","3.556","43.8","33.8","17.5","2.5","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"","101
001","338","3.250","20.7","29.3","28.1","15.7","3.3",".",".",".",".",".",".",".","2.4",".","0.6","."
"","101
002","346","3.237","20.5","27.7","30.6","15.9","3.2",".",".",".",".",".",".",".","2.0",".",".","."
"","101
003","378","3.044","21.7","28.8","17.2","14.8","11.4","5.3","0.8",".",".",".",".",".",".",".",".","."
"","101
004","376","2.936","21.5","18.9","19.7","18.9","16.2","2.7","2.1",".",".",".",".",".",".",".",".","."
"","101
005","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1447","3.112","21.1","26.3","23.6","16.2","8.7","2.1","0.8",".",".",".",".",".","1.0",".","0.1","."
"","102
001","177","2.898","16.9","15.8","24.3","26.0","11.9","5.1",".",".",".",".",".",".",".",".",".","."
"","102
002","280","3.027","19.6","21.8","22.1","17.9","16.1","1.4",".",".",".",".",".",".","1.1",".",".","."
"","102
003","175","3.566","38.9","40.6","16.6","2.9","1.1",".",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","632","3.141","24.2","25.3","21.2","16.0","10.8","2.1",".",".",".",".",".",".","0.5",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","39","3.658","51.3","28.2","15.4","2.6",".",".",".",".",".",".",".",".",".",".","2.6","."
"Quant Tools for Economics","205
001","30","3.017","33.3","23.3","16.7","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","13","2.769","7.7","30.8","30.8","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"","300
002","16","3.125","37.5",".","31.3","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","300
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","32","3.047","28.1","15.6","28.1","12.5","9.4","3.1","3.1",".",".",".",".",".",".",".",".","."
"","301
001","173","2.733","17.3","12.7","22.0","22.0","15.6","5.8","4.0",".",".",".",".",".","0.6",".",".","."
"","301
002","206","3.000","20.9","25.7","16.5","18.0","13.6","3.4","1.5",".",".",".",".",".","0.5",".",".","."
"Intmed Microeconomic Theory","Course Total","379","2.878","19.3","19.8","19.0","19.8","14.5","4.5","2.6",".",".",".",".",".","0.5",".",".","."
"","302
001","167","3.078","17.4","25.7","28.1","18.6","6.0","3.6",".",".",".",".",".",".","0.6",".",".","."
"","302
002","205","3.571","42.0","36.6","16.1","4.4","1.0",".",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","372","3.350","30.9","31.7","21.5","10.8","3.2","1.6",".",".",".",".",".",".","0.3",".",".","."
"","306
001","38","3.763","68.4","18.4","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","306
003","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","61","3.836","77.0","14.8","6.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","144","3.150","22.9","22.2","30.6","10.4","12.5","0.7",".",".",".",".",".",".","0.7",".",".","."
"","310
002","177","2.997","20.9","19.2","20.3","20.9","16.9","1.7",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","321","3.066","21.8","20.6","24.9","16.2","15.0","1.2",".",".",".",".",".",".","0.3",".",".","."
"Intmed Microecon-Adv Treatment","311
001","30","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization for Econ","315
001","45","3.467","40.0","24.4","31.1","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","4","***","","","","","","","","","","","","","","","",""
"Money and Banking","330
001","83","2.771","13.3","18.1","19.3","27.7","13.3","7.2","1.2",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371
001","42","3.226","23.8","28.6","31.0","11.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
003","37","3.446","51.4","10.8","21.6","8.1","8.1",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 229 of 469",""
