"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Fundamentals of Analytical Sci","329
001","81","3.265","35.8","18.5","24.7","9.9","8.6","2.5",".",".",".",".",".",".",".",".",".","."
"Elementary Organic Chemistry","341
001","179","2.784","21.8","5.6","25.7","8.4","35.2","1.7","1.1",".",".",".",".",".","0.6",".",".","."
"","343
001","304","2.908","27.3","10.5","27.6","7.2","19.7","4.3","3.3",".",".",".",".",".",".",".",".","."
"","343
002","210","3.005","30.5","14.3","23.8","5.7","18.6","5.7","1.4",".",".",".",".",".",".",".",".","."
"","343
003","158","2.639","10.8","10.8","29.7","10.8","29.7","7.6","0.6",".",".",".",".",".",".",".",".","."
"","343
004","58","3.386","34.5","25.9","27.6","5.2","3.4","1.7",".",".",".",".",".",".","1.7",".",".","."
"","343
005","225","2.653","18.7","13.8","20.0","10.2","24.9","7.1","5.3",".",".",".",".",".",".",".",".","."
"","343
006","197","3.145","33.5","18.3","14.7","12.7","19.8","1.0",".",".",".",".",".",".",".",".",".","."
"Organic Chemistry I","Course Total","1152","2.903","25.3","14.0","23.5","8.9","21.1","4.9","2.3",".",".",".",".",".","0.1",".",".","."
"","344
001","18","3.278","22.2","38.9","27.8","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","344
002","14","3.071","21.4","7.1","50.0","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","344
003","17","3.324","29.4","11.8","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004","17","2.941","11.8","11.8","47.1","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","344
005","18","3.333","33.3","27.8","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
006","18","3.222","33.3","16.7","38.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","344
007","17","3.088","23.5","5.9","47.1","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
008","16","3.406","50.0","6.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
009","17","3.353","35.3","17.6","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
011","17","3.206","17.6","29.4","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
012","14","3.393","42.9","14.3","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
013","15","3.067","20.0","6.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
014","14","3.250","14.3","42.9","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","344
015","16","3.156","12.5","37.5","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
016","11","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","344
017","14","3.179","21.4","14.3","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
018","17","3.206","11.8","41.2","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
021","13","3.346","38.5","7.7","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","344
022","15","3.267","26.7","20.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
023","12","3.417","41.7","25.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
024","16","3.219","31.3","18.8","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
025","14","3.179","21.4","35.7","7.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
026","9","3.389","44.4","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","344
027","12","3.083","33.3",".","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
028","8","3.375","25.0","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","369","3.237","27.4","20.9","31.4","14.1","5.7","0.3","0.3",".",".",".",".",".",".",".",".","."
"","345
001","184","2.870","23.4","10.9","26.1","12.0","21.7","3.8","2.2",".",".",".",".",".",".",".",".","."
"","345
002","267","2.870","25.5","6.4","28.8","9.7","23.6","3.7","1.9",".",".",".",".",".","0.4",".",".","."
"Organic Chemistry II","Course Total","451","2.870","24.6","8.2","27.7","10.6","22.8","3.8","2.0",".",".",".",".",".","0.2",".",".","."
"","346
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","17","3.235","35.3","11.8","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","18","3.229","33.3","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Polymeric Materials","421
001","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
