"L&S","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","Dept. Total","3497","3.158","30.3","19.6","18.7","12.5","10.6","1.5","0.5","4.6","0.0",".","",".","1.2","0.3","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","111","3.507","55.9","24.3","8.1","3.6","2.7","1.8","2.7",".",".",".","",".",".","0.9",".",".","."
"Sophomore","","626","3.070","30.8","18.7","18.2","13.4","15.7","2.1","0.8",".",".",".","",".",".","0.3",".",".","."
"Junior","","1284","3.100","28.0","20.2","20.1","15.4","14.3","1.5","0.4",".",".",".","",".",".","0.1",".",".","."
"Senior","","979","3.177","29.2","22.8","21.9","14.6","8.6","1.9","0.3",".",".",".","",".","0.1","0.4","0.1","0.1","."
"Undergraduates","","3000","3.130","30.0","20.9","19.8","14.3","12.3","1.8","0.5",".",".",".","",".","0.0","0.3","0.0","0.0","."
"Special","","36","3.488","33.3","8.3","2.8","8.3","5.6",".",".","30.6",".",".","",".",".",".",".","8.3","2.8"
"Graduate","","461","3.575","31.7","11.9","12.4","1.3","0.4","0.2","0.4","32.3","0.2",".","",".","8.7","0.4",".",".","."
"","Dept. Total","3497","3.158","30.3","19.6","18.7","12.5","10.6","1.5","0.5","4.6","0.0",".","",".","1.2","0.3","0.0","0.1","0.0"
