"L&S","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
508
ITALIAN","278","3.682","64.4","19.1","5.0","3.6","1.4","1.1","0.7","4.3","",".",".","",".","",".","",".",".","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","53","3.620","62.3","20.8","9.4","1.9","1.9","3.8",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","71","3.694","64.8","23.9","2.8","5.6","1.4","1.4",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","59","3.550","54.2","28.8","10.2","3.4",".",".","3.4",".","",".",".","",".","",".","",".",".",".","."
"Senior","57","3.768","77.2","10.5","1.8","5.3","3.5",".",".","1.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","240","3.659","64.6","21.3","5.8","4.2","1.7","1.3","0.8","0.4","",".",".","",".","",".","",".",".",".","."
"Special","6","4.000","66.7",".",".",".",".",".",".","16.7","",".",".","",".","",".","",".",".","16.7","."
"Graduate","32","3.950","62.5","6.3",".",".",".",".",".","31.3","",".",".","",".","",".","",".",".",".","."
"Dept. Total","278","3.682","64.4","19.1","5.0","3.6","1.4","1.1","0.7","4.3","",".",".","",".","",".","",".",".","0.4","."
