"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","","21","",".",".",".",".",".",".",".",".",".","90.5","9.5",".",".",".",".","."
"Actuarial Science Methods II","301
001","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","303
001","","41","3.207","26.8","24.4","24.4","12.2","12.2",".",".",".",".",".",".",".",".",".",".","."
"","303
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Interest","Course Total","","43","3.198","27.9","23.3","23.3","11.6","14.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","17","3.647","70.6",".","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","650
001","","41","3.146","31.7","26.8","17.1","2.4","17.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","651
001","","23","3.196","34.8","17.4","21.7","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","652
001","","20","3.075","30.0","25.0","25.0",".","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","652
002","","20","3.250","40.0","20.0","15.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","","40","3.163","35.0","22.5","20.0","5.0","10.0","5.0","2.5",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","","22","3.250","27.3","22.7","36.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"Health Analytics","655
001","","24","3.396","37.5","33.3","20.8","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"242
ACT SCI","Dept. Total","","262","3.245","28.2","17.9","17.6","6.1","7.3","1.9","1.1",".",".","19.1","0.8",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","34","3.289","20.6","11.8","11.8","2.9","8.8",".",".",".",".","44.1",".",".",".",".",".","."
"Junior","","","62","3.293","24.2","14.5","16.1","4.8","4.8",".","1.6",".",".","33.9",".",".",".",".",".","."
"Senior","","","143","3.238","30.8","23.8","17.5","7.0","7.7","2.8","1.4",".",".","7.7","1.4",".",".",".",".","."
"Undergraduates","","","239","3.255","27.6","19.7","16.3","5.9","7.1","1.7","1.3",".",".","19.7","0.8",".",".",".",".","."
"Special","","","20","3.118","35.0",".","25.0","10.0","10.0","5.0",".",".",".","15.0",".",".",".",".",".","."
"Graduate","","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","262","3.245","28.2","17.9","17.6","6.1","7.3","1.9","1.1",".",".","19.1","0.8",".",".",".",".","."
