"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","334","3.658","59.3","25.7","6.6","3.6","2.4","0.6","0.6","1.2",".",".",".",".",".",".",".","."
"Literatures of Native America","172
001","14","3.462","50.0","28.6","7.1",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"Literature by Amer Ind Women","246
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indians of Wisconsin","250
001","39","3.237","12.8","38.5","28.2","17.9",".",".",".",".",".",".",".",".","2.6",".",".","."
"First Semester Ojibwe","301
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","303
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginner Indigenous Language","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306
001","69","3.566","43.5","42.0","7.2","2.9",".","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"Beginner Hoocak/Ho-Chunk","308
001","7","3.833","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"American Indian Communities","330
001","20","3.853","65.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","15.0","."
"Indigenous Envir Communicators","341
001","7","3.000","14.3","42.9",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Native North Amer Nat Res Mgmt","345
001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371
001","12","3.583","83.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"American Indian Women","437
001","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","450
001","11","3.500","72.7",".","9.1",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"","450
002","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","20","3.579","60.0","20.0","10.0",".",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"140
AMER IND","Dept. Total","579","3.627","56.8","25.6","8.1","3.8","1.7","0.5","1.2","1.2",".",".",".",".","0.3","0.2","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","230","3.531","50.0","28.3","10.9","5.2","3.0","0.9","1.3",".",".",".",".",".",".","0.4",".","."
"Sophomore","","184","3.785","67.9","23.4","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","77","3.552","55.8","23.4","10.4","6.5","1.3",".","2.6",".",".",".",".",".",".",".",".","."
"Senior","","71","3.572","54.9","31.0","2.8","1.4","2.8","1.4","2.8",".",".",".",".",".","1.4",".","1.4","."
"Undergraduates","","562","3.623","57.3","26.3","8.4","3.9","1.8","0.5","1.2",".",".",".",".",".","0.2","0.2","0.2","."
"Special","","12","4.000","16.7",".",".",".",".",".",".","58.3",".",".",".",".","8.3",".","16.7","."
"Graduate","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","579","3.627","56.8","25.6","8.1","3.8","1.7","0.5","1.2","1.2",".",".",".",".","0.3","0.2","0.5","."
