"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"205","001","","12","3.750","75.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"205","002","","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","Course Total","","31","3.726","67.7","12.9","16.1","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"223","001","","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"223","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","Course Total","","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hmong
225","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"227","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"227","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Indonesian","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Third Semester Thai
229","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Vietnamese
231","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hindi
233","001","","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Third Semester Persian
237","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Urdu
239","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301","001","","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"301","002","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"301","003","","16","3.786","68.8","6.3","6.3","6.3",".",".",".","12.5",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","Course Total","","45","3.744","64.4","17.8","8.9","4.4",".",".",".","4.4",".",".",".",".",".",".",".","."
"303","002","","18","3.722","66.7","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"303","003","","20","3.300","30.0","35.0","15.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","Course Total","","38","3.500","47.4","28.9","10.5","2.6","10.5",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean
305","001","","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Hmong
325","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Thai
329","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese
331","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hindi
333","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Tibetan
335","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Persian
337","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Urdu
339","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"348","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"348","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Indonesian","Course Total","","2","***","","","","","","","","","","","","","","","",""
"355","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
