"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis Hum Onc 1
681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis Human Oncology 1
691","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","201","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Presentation Skills
750","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Tumor Immunol Cancer Immnthrpy
911","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Challenges in Oncology
912","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","4","***","","","","","","","","","","","","","","","",""
