"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Statistical Methods I","Course Total","","50","3.310","28.0","26.0","36.0","8.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"Data Science Computing Project
605","001","","57","3.930","93.0","3.5","1.8",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I
609","001","","32","3.469","37.5","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"610","001","","27","3.630","44.4","44.4","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"610","002","","18","3.222","16.7","22.2","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","","45","3.467","33.3","35.6","24.4","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"Statistical Models - Data Sci
611","001","","19","3.605","57.9","15.8","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Methods for Data Sci
613","001","","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Practicum
628","001","","49","3.847","73.5","22.4","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"632","002","","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","14","3.214","21.4","28.6","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials
641","001","","15","3.333","26.7","33.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Statistics
679","001","","30","3.767","63.3","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","210","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","227","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.929","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Time Series Analysis I
701","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics
709","001","","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I
726","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Longitudinal Data Analysis
727","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability I
733","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multivariate Analysis I
760","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Computing
771","001","","31","3.661","51.6","29.0","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability
833","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Appl-Regress&AnalysVar I
849","001","","25","3.660","44.0","44.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Machine Learning
861","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 353 of 469",""
