"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","8","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","11","4.000","81.8","",".","",".","",".","",".","",".","",".",".","",".",".","",".","18.2","",".",".",".","."
"Undergraduates","","23","4.000","91.3","",".","",".","",".","",".","",".","",".",".","",".",".","",".","8.7","",".",".",".","."
"Graduate","","11","4.000","72.7","",".","",".","",".","",".","",".","",".","27.3","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","31","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","32","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
