"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Ethics and the Brain
534","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories
541","001","","24","3.667","58.3","20.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers
549","001","","23","3.130","26.1","4.3","47.8","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"551","001","","21","2.816","19.0","23.8","19.0","9.5","4.8","4.8","9.5",".",".",".",".",".","9.5",".",".","."
"551","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Mind","Course Total","","26","3.042","30.8","23.1","15.4","7.7","3.8","3.8","7.7",".",".",".",".",".","7.7",".",".","."
"Political Philosophy
555","001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metaphysics
560","001","","26","3.800","57.7","38.5",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"562","001","","15","3.433","33.3","46.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"562","002","","26","3.462","30.8","46.2","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"562","003","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Metaphysics","Course Total","","48","3.448","31.3","43.8","18.8",".","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"Directed Study
599","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","85.7",".",".","14.3","."
"701","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","10","3.889","80.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Advanced History-Philosophy
835","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Philosophy
902","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Philosophy
904","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Philos of Language
916","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Philosophy of Science
920","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Philosophy of Mind
951","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Metaphysics Seminar
960","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","",".",".",".",".",".",".",".","61.9",".",".",".","38.1",".",".",".","."
